dr_no,date_rptd,date_occ,time_occ,area_name,crm_cd_desc,vict_age,vict_sex,vict_descent,weapon_desc,status_desc,location
221322243,2022-12-11,2022-12-10,23:00,Newton,INTIMATE PARTNER - SIMPLE ASSAULT,21,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,BROADWAY
221012111,2022-07-27,2022-07-27,04:15,West Valley,VIOLATION OF TEMPORARY RESTRAINING ORDER,39,F,W,No weapon/Unknown,Adult Other,19400    VANOWEN                      ST
231109587,2023-05-31,2023-05-31,08:15,Northeast,VIOLATION OF RESTRAINING ORDER,50,M,H,No weapon/Unknown,Invest Cont,6300    CRESCENT                     ST
221312422,2022-06-04,2022-06-04,05:30,Newton,OTHER ASSAULT,65,F,B,UNKNOWN WEAPON/OTHER WEAPON,Adult Arrest,5100    AVALON                       BL
231909531,2023-05-21,2023-05-01,21:35,Mission,THEFT OF IDENTITY,59,M,H,No weapon/Unknown,Invest Cont,9000    TOBIAS                       AV
230705746,2023-02-09,2023-02-05,04:55,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),30,M,W,No weapon/Unknown,Invest Cont,1000 S  MANSFIELD                    AV
220220109,2022-11-13,2022-11-12,22:00,Rampart,BATTERY - SIMPLE ASSAULT,31,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1600 W  12TH                         ST
220810538,2022-06-07,2022-06-06,17:00,West LA,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,F,W,No weapon/Unknown,Invest Cont,1400    WARNALL                      AV
221615186,2022-12-15,2022-11-20,14:30,Foothill,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29,M,W,No weapon/Unknown,Invest Cont,12200    REMINGTON                    ST
221414485,2022-08-01,2022-07-31,18:00,Pacific,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),57,M,W,No weapon/Unknown,Invest Cont,28TH                         AV
